ticker,year,quarter,lt_trade_receivables,gross_profit,st_liabilities,fin_leased_fixed_assets,cashneq,st_trade_accounts_payable,eps,changes_in_sale_securities,invest_in_oe,st_trade_accounts_receivable,lt_trade_payables,repaym_of_fin_leases,lt_advances_from_customers,st_advances_from_customers,share_of_associates_n_joint_ventures_result,profit_before_tax,st_invest,interest_paid,net_cf_from_operation,st_loan_receivables,lt_provision_for_invest,pnl_from_invest,share_premium,allocation_of_goodwill,olt_liabilities,eat_of_parent_company,ebt,operating_profit,interest_income_n_dividends,changes_in_inventories,inventories,preferred_stock,receipts_from_disposal_of_fixed_assets_n_olt_assets,receipts_from_equity_issue_n_cap_contri,fin_income,invest_in_associates_or_joint_ventures,st_assets,provisions,deferred_tax_exps,invest_in_subsidiaries,fixed_assets,st_provision_for_liabilities,paym_for_invest_in_oe,tangible_fixed_assets,deduction_revenue,other_funds_from_owners_equity,minoritys_interest,taxes_n_other_payables_to_gov,ost_receivables,cash_n_equiv_at_end_period,loans_purchases_of_other_debt_instruments,trading_securities,st_prepayments_to_suppliers,payable_to_employees,proceeds_from_borrowings,liabilities,lt_provision_for_doubtful_debts,pnl_foreign_exchange,st_borrowings_n_fin_leases,corp_income_tax_paid,depre_fixed_assets_n_properties_invest,other_income,receipts_from_loan_repay_n_sale_of_debt_instruments,owners_equity,sell_exps,lt_held_to_maturity_invest,cf_from_operation,other_profit,changes_in_receivables,lt_acrrued_exps,other_paym_for_operation,lt_prepayments_to_suppliers,st_held_to_maturity_invest,lt_borrowings_n_fin_leases,cogs,paym_for_share_repurchases,general_n_admin_exps,lt_provision_for_liabilities,st_provision_for_doubtful_debts,undistributed_eat,operating_profit_before_changes_in_wc,fin_exps,lt_assets,intangible_fixed_assets,st_acrrued_exps,lt_liabilities,cash_n_equiv_at_begin_period,st_inter_company_receivables,provision_for_trading_secutities,other_cap_of_owners,ost_payables,other_exps,fund_for_tech_dev,net_cf_during_period,ost_assets,total_assets,net_cf_from_invest,lt_receivables,curr_tax_exps,provision_for_inventories,lt_assets_in_progress,olt_receivables,treasury_shares,invest_properties,cash,st_receivables,olt_assets,revenue,lt_loan_receivables,lt_unearned_revenue,lt_invest,cf_from_fin,bonus_n_welfare_fund,cf_from_invest,paym_for_fixed_assets_n_construct_n_olt_assets,net_revenue,convertible_bonds,net_cf_from_fin,eat,principal_repaym,interest_exps,pnl_from_disposal_fixed_assets,st_unearned_revenue,taxes_n_other_receivables_to_gov,casheq,other_receipts_from_operation,changes_in_prepaid_exps,olt_invest,owners_cap,collections_on_invest_in_oe,dividends_paid_to_owners,dividends_n_interest_n_profit_received,changes_in_payables
hag,2018,4,,223916937000.0,13893277055000.0,,337744709000.0,476300586000.0,-273.0,,16313871000.0,2976394171000.0,,,,2403570689000.0,27466668000.0,82178018000.0,,-954007746000.0,-2989158674000.0,724888836000.0,,,3263858784000.0,,986991727000.0,-253287189000.0,-344428979000.0,-195190213000.0,,-204048807000.0,1495654668000.0,,323976516000.0,,210914640000.0,2772693461000.0,10060599985000.0,982006378000.0,33196751000.0,,10554520405000.0,,-7783830000.0,10493756035000.0,,,-124923581000.0,59351726000.0,668623334000.0,337744709000.0,-3041376766000.0,,457339010000.0,67209965000.0,-4132930823000.0,31613656394000.0,,75980415000.0,7013438291000.0,-54584467000.0,,32208387000.0,3903352004000.0,16677841716000.0,47538707000.0,,,-149238766000.0,-1112257030000.0,1546406554000.0,-2231680000.0,,,14803704081000.0,818856495000.0,9171629861000.0,291322539000.0,5733366000.0,-33490297000.0,-161527905000.0,1664764769000.0,318627212000.0,38230898125000.0,60764370000.0,2599503863000.0,17720379339000.0,141473491000.0,,,,1273609362000.0,181447153000.0,,196271218000.0,3433445554000.0,48291498110000.0,-1853269146000.0,6605722275000.0,585040000.0,-1977573000.0,13760835667000.0,329400263000.0,-686640000.0,37104803000.0,337744709000.0,4793755054000.0,4483707643000.0,,6276322012000.0,,2789007332000.0,,63906000.0,,-3972873349000.0,1042773432000.0,,5038699038000.0,-378210770000.0,,326116098000.0,,228667000.0,11667485000.0,,,3131505406000.0,,9274679470000.0,85963757000.0,,855472522000.0,-5458299119000.0
hag,2018,3,,862212558000.0,12611823044000.0,,847689600000.0,445064045000.0,435.0,,8530041000.0,3247406579000.0,,,,2487133952000.0,50714031000.0,519770551000.0,,-684525170000.0,-808123874000.0,963830133000.0,,,3263858784000.0,,1258259943000.0,403177008000.0,392432189000.0,947664047000.0,,-252027321000.0,1472692539000.0,,226566609000.0,,740394810000.0,2755640550000.0,7460985331000.0,708575293000.0,8258728000.0,,10552075665000.0,,75550000000.0,10488769005000.0,,,-25535237000.0,101328225000.0,652624662000.0,847689600000.0,-2496775153000.0,,239120236000.0,85433867000.0,-2403242676000.0,31335493182000.0,,94893076000.0,5790088262000.0,-28331582000.0,,7310593000.0,2945897594000.0,17021866174000.0,50524467000.0,,,-555231858000.0,2127590206000.0,1851415432000.0,-1169998000.0,,,15269492080000.0,658396633000.0,5277577227000.0,212467198000.0,5746866000.0,-28942631000.0,155124173000.0,1634128218000.0,442665687000.0,40896374025000.0,63306660000.0,2073618804000.0,18723670138000.0,141473491000.0,,,,1628609301000.0,562542451000.0,,706216109000.0,66564213000.0,48357359356000.0,-1359994568000.0,6651912103000.0,6531690000.0,-12524350000.0,16463927849000.0,162389147000.0,-686640000.0,37414662000.0,847689600000.0,5074038979000.0,4426873155000.0,,6489522956000.0,,2764170591000.0,,546588000.0,,-2877028416000.0,1520609191000.0,,2874334551000.0,377641771000.0,,407529415000.0,,,8443300000.0,,,-185097744000.0,,9274679470000.0,,,765794798000.0,-3418690483000.0
hag,2018,2,,973087687000.0,13673221225000.0,,230331519000.0,890198370000.0,-15.0,,10507903000.0,3431905894000.0,,,,4077583803000.0,1517612000.0,145052981000.0,,-498774696000.0,1278164252000.0,1389349418000.0,,,3263858784000.0,,867191688000.0,-13671755000.0,112648747000.0,247026256000.0,,-199373600000.0,1405964154000.0,,173675222000.0,,172511322000.0,275128276000.0,8002268952000.0,494798994000.0,31608169000.0,,12778941085000.0,,2550000000.0,11447911631000.0,,,97029084000.0,254215184000.0,1327477483000.0,230331519000.0,-359580472000.0,,182617531000.0,96193132000.0,-1259528292000.0,36851170734000.0,,51938081000.0,2964890875000.0,-3932153000.0,,7363219000.0,92091939000.0,18255160686000.0,56429948000.0,20000000.0,,-134377509000.0,856310006000.0,1777225413000.0,-11998000.0,,,20196325351000.0,921176001000.0,1545654307000.0,354836597000.0,5997074000.0,-33602434000.0,410979523000.0,1123441264000.0,488823820000.0,47104062468000.0,1331029454000.0,1796796868000.0,23177949509000.0,141473491000.0,,,,3592796405000.0,141740728000.0,,88858028000.0,68225387000.0,55106331420000.0,-1475432239000.0,9328624853000.0,-2316751000.0,-9178172000.0,16609052543000.0,1961595516000.0,-686640000.0,3201065920000.0,230331519000.0,6297747892000.0,4900721888000.0,1894263688000.0,7367029337000.0,,285656179000.0,,546588000.0,,-1434414949000.0,1894263688000.0,,286126015000.0,83357329000.0,,429046666000.0,,,8938673000.0,,,-291812840000.0,,9274679470000.0,,,50246021000.0,292318269000.0
hag,2018,1,,479073136000.0,11843035829000.0,,107320055000.0,1141690665000.0,3.0,,10507903000.0,2954455298000.0,,,,3848084898000.0,-14056924000.0,32404234000.0,,-101060075000.0,115528151000.0,1215983226000.0,,,3263858784000.0,,1197590859000.0,2608030000.0,32404234000.0,137538340000.0,,-282358110000.0,1443124839000.0,,188081474000.0,,265154784000.0,273555637000.0,7049204781000.0,232033752000.0,-24354498000.0,,11730082231000.0,,,10246222796000.0,,,54035265000.0,217379140000.0,1077139516000.0,107320055000.0,-116172895000.0,,191375200000.0,90794092000.0,915919454000.0,34812158473000.0,,-2581109000.0,2359676885000.0,,,2533634000.0,32730373000.0,18284675897000.0,39778009000.0,20000000.0,,-105134106000.0,1882494765000.0,1224319754000.0,-37480000.0,,,20237073608000.0,547708547000.0,,156771933000.0,6010366000.0,-22347919000.0,360763918000.0,392095612000.0,396082714000.0,46047629589000.0,1483859435000.0,1325321753000.0,22969122644000.0,141473491000.0,,,,2859567290000.0,107667740000.0,,-34153436000.0,82154566000.0,53096834370000.0,-383171849000.0,8692112099000.0,115437000.0,-7645681000.0,17306609278000.0,1696678813000.0,-686640000.0,3199441866000.0,107320055000.0,5416605321000.0,4835300575000.0,1026781683000.0,6995433286000.0,,284083540000.0,,521106000.0,,-539253033000.0,1026781683000.0,,233490262000.0,56643295000.0,-682429192000.0,376643990000.0,,,7884029000.0,,,-181811175000.0,,9274679470000.0,2550000000.0,,48892232000.0,-1593795386000.0
hag,2018,-1,,2374705174000.0,13136735456000.0,,337736719000.0,473908598000.0,127.0,,16313871000.0,2976376936000.0,,,,2411088952000.0,64840488000.0,47696838000.0,,-971481036000.0,-2917676442000.0,724888836000.0,,,3263858784000.0,,980019908000.0,117506769000.0,47696838000.0,940878373000.0,,-695030279000.0,1397223406000.0,,531497895000.0,,1404799179000.0,2771892520000.0,6567906781000.0,1137274221000.0,38454058000.0,,10732352612000.0,,-7783830000.0,10671588242000.0,,,-111262364000.0,57716523000.0,656027274000.0,337736719000.0,-3041376766000.0,,427114472000.0,67209973000.0,7594866696000.0,31300554930000.0,,44675852000.0,6949803327000.0,-54584465000.0,,21546363000.0,3903352004000.0,16810886686000.0,192446215000.0,,,-893181535000.0,1511655755000.0,2029868704000.0,-1758964000.0,,,14803739630000.0,3013495226000.0,,989336089000.0,5733366000.0,-37286654000.0,-36434976000.0,1346587061000.0,1721684164000.0,41543534835000.0,60764370000.0,2045910162000.0,18163819474000.0,141473491000.0,,,,1130795710000.0,914727898000.0,,196263228000.0,85825792000.0,48111441616000.0,-353583203000.0,6531099389000.0,2998375000.0,-11970940000.0,16910792900000.0,342673458000.0,-686640000.0,37104803000.0,337736719000.0,4747120864000.0,4543978740000.0,,6188425931000.0,,2788206391000.0,,73544000.0,,-2597907012000.0,5388200400000.0,,3467522873000.0,6244405000.0,-4127343823000.0,1532928450000.0,,228667000.0,10030825000.0,,,-215749814000.0,,9274679470000.0,74975161000.0,,783659345000.0,-3837314700000.0
hag,2017,4,,588469715000.0,12031029128000.0,,141082424000.0,944051909000.0,,,10507903000.0,2105492876000.0,,,,3598098546000.0,-13071382000.0,,,,,3819416925000.0,,,3263858784000.0,,1493215288000.0,-58537686000.0,9828341000.0,131483155000.0,,,1244935201000.0,,,,143198648000.0,858393855000.0,8739143586000.0,,3369021000.0,,9789427742000.0,,,8458446498000.0,15190000.0,,61901604000.0,217774047000.0,733707139000.0,,,,652704253000.0,83480060000.0,,35156357148000.0,,,3033923259000.0,,,62111893000.0,,18288141651000.0,50060174000.0,20000000.0,,-121654814000.0,,1218024076000.0,,,,19786224518000.0,571673300000.0,,155776099000.0,363763120000.0,-28938035000.0,1274963503000.0,,381277553000.0,44705355213000.0,1330981244000.0,549336499000.0,23125328020000.0,,,,,3595914395000.0,183766707000.0,,,70742803000.0,53444498799000.0,,9064876946000.0,3095402000.0,-14620139000.0,18152867020000.0,2013675049000.0,-686640000.0,3210064249000.0,141082424000.0,7282383158000.0,3619197498000.0,1160158205000.0,7051201897000.0,,868921758000.0,,437742000.0,,,1160143015000.0,,,3363918000.0,,387041472000.0,,8012671000.0,7370516000.0,,,,,9274679470000.0,,,,
hag,2017,3,,416578885000.0,11443382451000.0,,219902564000.0,1114957339000.0,108.0,,10507903000.0,1832152787000.0,,,,3590471674000.0,5075089000.0,,,,,3149083782000.0,,,3263858784000.0,,1346897322000.0,103713005000.0,169923760000.0,176600499000.0,,,1181278161000.0,,,,294502161000.0,871465237000.0,7938021572000.0,,11974561000.0,,9625994830000.0,,,8337888112000.0,11855000.0,,54306091000.0,156098525000.0,859317661000.0,,,,650646104000.0,113082254000.0,,34670188220000.0,,,2795759633000.0,,,125750906000.0,,18140165246000.0,32694527000.0,20000000.0,,-6676739000.0,,918281298000.0,,,,20364462753000.0,1105132789000.0,,175506568000.0,351984049000.0,-28144521000.0,1396850360000.0,,331354541000.0,44872331894000.0,1288106718000.0,434020453000.0,23226805769000.0,,,,,3230580563000.0,132427645000.0,,,73785034000.0,52810353466000.0,,9116187506000.0,-69897000.0,-14516702000.0,18180948270000.0,732258990000.0,-686640000.0,3334207524000.0,219902564000.0,6463055813000.0,3733000624000.0,1521723529000.0,8383928516000.0,,881993140000.0,,485891000.0,,,1521711674000.0,,,158019096000.0,,325774254000.0,,7926119000.0,1820572000.0,,,,,9274679470000.0,,,,
hag,2017,2,,676448558000.0,11011540209000.0,,1619141773000.0,1308446258000.0,961.0,,10507902000.0,2246928987000.0,,,,3602701516000.0,12462407000.0,,,,,2446886008000.0,,,3263858784000.0,,1003210708000.0,795075159000.0,1006929534000.0,1013791783000.0,,,1131639935000.0,,,,1167792513000.0,866409939000.0,10582697320000.0,,-119372990000.0,,9732401192000.0,,,8396802161000.0,,,325459777000.0,248344584000.0,2035507947000.0,,,,1069378024000.0,79838205000.0,,34288360487000.0,,,3769810326000.0,,,58999003000.0,,18798645807000.0,96130952000.0,20000000.0,,-6862249000.0,,397955540000.0,,,,21328949823000.0,973619525000.0,,213934866000.0,312236082000.0,-29075643000.0,1564856349000.0,,532845877000.0,42504308974000.0,1335599031000.0,613061238000.0,23276820278000.0,,,,,1382021538000.0,65861252000.0,,,62290289000.0,53087006294000.0,,7331447465000.0,5767588000.0,-26391987000.0,17296498219000.0,1300314050000.0,-686640000.0,3468179364000.0,1619141773000.0,7769625323000.0,3798844893000.0,1650068083000.0,6031133415000.0,,876937841000.0,,556334000.0,,,1650068083000.0,,,1120534936000.0,,485479273000.0,,6760210000.0,14305889000.0,,,,,9274679470000.0,,,,
hag,2017,1,,218923543000.0,11831263835000.0,,209295185000.0,1492603925000.0,7.0,,12101903000.0,1900880899000.0,,,,3549164522000.0,-11818498000.0,8480943000.0,,-328150479000.0,254436433000.0,2819983988000.0,,,3539078784000.0,,993360823000.0,5842119000.0,8480943000.0,-31741051000.0,,61316536000.0,1359439105000.0,,185924471000.0,,145866503000.0,853947532000.0,10551688370000.0,174000561000.0,-26737308000.0,,8230939509000.0,,,6886928496000.0,,,10538396000.0,214562098000.0,1941810584000.0,209295185000.0,-184925700000.0,,1168538926000.0,67737452000.0,378275244000.0,34426129135000.0,,-2747519000.0,4916064237000.0,-2024910000.0,,47476678000.0,58805000000.0,16375025360000.0,29831315000.0,20000000.0,,40221994000.0,182894971000.0,191214558000.0,-287393000.0,,,20868706125000.0,605090667000.0,,101887266000.0,277033672000.0,-28144520000.0,1396997246000.0,245257942000.0,252994018000.0,40249466125000.0,1344011013000.0,653331891000.0,22594865300000.0,791208293000.0,,,,927101270000.0,7254684000.0,,-581913108000.0,1179884203000.0,50801154495000.0,-771274617000.0,5496886353000.0,18837736000.0,-32962424000.0,18145338935000.0,440710177000.0,-686640000.0,3485523219000.0,209295185000.0,7803069877000.0,4024708674000.0,824014210000.0,5056176176000.0,,866069435000.0,,3938230000.0,,-841702931000.0,824014210000.0,,-65074924000.0,16380515000.0,-443350168000.0,251239838000.0,,6760210000.0,5424444000.0,,,-64240858000.0,,7899679470000.0,,,10624543000.0,159670624000.0
hag,2017,-1,,1731542077000.0,12378346271000.0,,141473491000.0,970327536000.0,80.0,,10507903000.0,2166131406000.0,,,,3595954762000.0,-18433513000.0,430145293000.0,,-714949467000.0,1014522675000.0,3969777546000.0,,,3263858784000.0,,1269645155000.0,69588012000.0,430145293000.0,829621123000.0,,-211051664000.0,1118852515000.0,,475594760000.0,2450000000.0,1665916448000.0,847332517000.0,8815052625000.0,1054629884000.0,33735757000.0,,9921066056000.0,,,8590084812000.0,,,302019303000.0,198214334000.0,756477238000.0,141473491000.0,-7208649956000.0,,611144225000.0,83448891000.0,4119461254000.0,35274154978000.0,,60022958000.0,2528863856000.0,-4591515000.0,1054629884000.0,267202683000.0,2988905798000.0,17787972678000.0,143923122000.0,20000000.0,,-399475830000.0,515795384000.0,987071192000.0,-316303000.0,477204000.0,,20296209849000.0,3109682997000.0,,707548329000.0,5940994000.0,-21721909000.0,702809115000.0,1421004923000.0,1697932438000.0,44247075031000.0,1330981244000.0,1231386531000.0,22895808707000.0,794326175000.0,,,,3755607293000.0,666678513000.0,,-480746836000.0,72918113000.0,53062127656000.0,-2561827694000.0,8887895570000.0,24802221000.0,-7645680000.0,17750120892000.0,935439558000.0,-686640000.0,3210064249000.0,141473491000.0,7481808506000.0,3620067844000.0,4841225074000.0,7951978808000.0,,857860420000.0,,558586000.0,,-1454631442000.0,4841225074000.0,,1066558183000.0,371607315000.0,-3055353071000.0,1585315746000.0,,13984482000.0,6014158000.0,,,-767137982000.0,,9274679470000.0,1517118217000.0,,1119834929000.0,775769299000.0
hag,2016,4,,235900373000.0,13883317520000.0,,794085316000.0,1711070056000.0,-157.0,,12101902000.0,2276106307000.0,,,,3614992839000.0,14872208000.0,-1394975847000.0,,-1410055867000.0,3446951061000.0,2812512127000.0,,,3539078784000.0,,1000344226000.0,-124018727000.0,-207013402000.0,-22466637000.0,,1678357576000.0,1983395937000.0,,1763438567000.0,2792000000000.0,176614983000.0,854553495000.0,10599895568000.0,701366909000.0,-42256999000.0,,9636361153000.0,,-4604707936000.0,8284999060000.0,4181665000.0,,-22398904000.0,186592984000.0,1598964203000.0,794085316000.0,-3562540450000.0,,1099346421000.0,72184908000.0,9000217885000.0,36103030255000.0,,40983929000.0,6572320725000.0,-25424754000.0,,78523146000.0,4404217893000.0,16912541772000.0,37024356000.0,20000000.0,,-184546765000.0,608868921000.0,,-3723535000.0,,,20794258130000.0,1307209806000.0,-313000000000.0,15814499000.0,6168930000.0,-13764206000.0,1484796595000.0,219358181000.0,397015346000.0,42415676459000.0,1351362093000.0,788085251000.0,22219712735000.0,967966695000.0,,,,937512111000.0,263069911000.0,,-173881379000.0,49249463000.0,53015572027000.0,-5230710401000.0,5345866853000.0,-18338772000.0,-2755431000.0,19042696754000.0,214963631000.0,-686640000.0,3510539209000.0,794085316000.0,7773164852000.0,4013537093000.0,1547291844000.0,5130903222000.0,,866675397000.0,,558646000.0,,-4176271980000.0,1543110179000.0,,1609877961000.0,-146417631000.0,-9869339924000.0,382066557000.0,,,5497776000.0,,,-2676242000.0,,7899679470000.0,590249322000.0,,354904183000.0,2382246781000.0
hag,2016,3,,185637521000.0,19809551666000.0,,889476060000.0,1291817469000.0,-43.0,,12101902000.0,3040356423000.0,,,,3096081159000.0,-3671293000.0,-1187962445000.0,,-642697952000.0,1856951563000.0,5018208374000.0,,,3539078784000.0,,972291694000.0,-33927461000.0,-69502492000.0,-110596011000.0,,1368225492000.0,1930643007000.0,,1151463446000.0,2792000000000.0,240298933000.0,839681287000.0,13092099960000.0,442251949000.0,-1494755000.0,,8285405334000.0,,-1436127761000.0,6934001602000.0,387084000.0,,-43091272000.0,204695538000.0,1142812619000.0,889476060000.0,-2759883596000.0,,1138430733000.0,71461667000.0,5053174255000.0,34893366098000.0,,36632678000.0,12270903086000.0,-21597789000.0,,52927424000.0,1866428708000.0,17410484152000.0,35712941000.0,20000000.0,,41093519000.0,-429332474000.0,,-3116708000.0,,,13578658170000.0,1068082550000.0,,91989088000.0,6371999000.0,-110263758000.0,1608814989000.0,109082537000.0,405159143000.0,39211750290000.0,1351403732000.0,1419493472000.0,15083814432000.0,967966695000.0,,,,1453933802000.0,11833905000.0,,-78490635000.0,42436502000.0,52303850250000.0,-2840398540000.0,6331855585000.0,9010996000.0,-4480846000.0,17893262923000.0,115909854000.0,-686640000.0,4171716966000.0,889476060000.0,10229544391000.0,1677706293000.0,1254107155000.0,6215945731000.0,,851803189000.0,,1165473000.0,,-2750222522000.0,1253720071000.0,,904956342000.0,-77018733000.0,-6627217913000.0,377543211000.0,,,1521959000.0,,,56038706000.0,,7899679470000.0,295105080000.0,,792838105000.0,1420349751000.0
hag,2016,2,,314674444000.0,15581899307000.0,,1424306658000.0,1150431465000.0,-1149.0,,51301901000.0,2101655345000.0,,,,2008415646000.0,-9002406000.0,-1075330996000.0,,-305094655000.0,611724814000.0,3688747826000.0,,,3539078784000.0,,442849206000.0,-907865331000.0,-1162463160000.0,-220547846000.0,,709870215000.0,2586625680000.0,,1037970372000.0,2792000000000.0,289786180000.0,255891187000.0,11931482536000.0,313946448000.0,77665721000.0,,8042545931000.0,,-885560254000.0,6688043989000.0,800077000.0,,-336043034000.0,280261965000.0,1019136625000.0,1424306658000.0,-760219306000.0,,1165001382000.0,56353859000.0,3225703892000.0,33023339353000.0,,10765470000.0,10212360648000.0,-14394165000.0,,1244978000.0,724832375000.0,18152453658000.0,56396381000.0,20000000.0,,-941915314000.0,-4995557000.0,,-2542003000.0,,,16471509081000.0,1713378054000.0,,249276569000.0,6369773000.0,-107450967000.0,1887804644000.0,-37810295000.0,510333114000.0,39244310475000.0,1354501942000.0,1304425867000.0,17441440046000.0,967966695000.0,,,,567909679000.0,943160292000.0,,456339963000.0,53459987000.0,51175793011000.0,-1051792838000.0,6793251056000.0,3779484000.0,-8538525000.0,19274580511000.0,134352381000.0,-686640000.0,3125971168000.0,1424306658000.0,7867090211000.0,1700748721000.0,2028852575000.0,6658898675000.0,,307213088000.0,,1740178000.0,,-2173441118000.0,2028052498000.0,,896407987000.0,-1243908365000.0,-5121295905000.0,500226530000.0,,,2151780000.0,,,4614512000.0,,7899679470000.0,280105080000.0,,724520013000.0,262076762000.0
hag,2016,1,,295501397000.0,14563488130000.0,,1719734428000.0,1088812247000.0,88.0,,75938149000.0,1921527013000.0,,,,1980091691000.0,37844000.0,87132164000.0,119118900000.0,-225836465000.0,861455131000.0,3598742918000.0,,,3539078784000.0,,652139987000.0,69353036000.0,87132164000.0,105661158000.0,,33052658000.0,3598468484000.0,,112826734000.0,1652000000000.0,216847266000.0,252337484000.0,13968053065000.0,127605633000.0,-16399352000.0,,6181358221000.0,276435000.0,-862944145000.0,6074670791000.0,96817000.0,,21561440000.0,259355193000.0,1483220881000.0,1719734428000.0,-152046501000.0,,1404757048000.0,47274591000.0,2121417997000.0,34099801154000.0,,17624166000.0,9620961537000.0,-11616468000.0,,4598038000.0,282307199000.0,18060269988000.0,26540281000.0,20000000.0,,-18528994000.0,794855332000.0,,-3526846000.0,,119118900000.0,18486285757000.0,1676693985000.0,,76038506000.0,6092639000.0,-10543787000.0,2471167142000.0,299244641000.0,304146562000.0,38192018077000.0,106687430000.0,900854669000.0,19536313024000.0,967966695000.0,,,,665106432000.0,23127032000.0,,751767733000.0,133027180000.0,52160071142000.0,-1258428048000.0,5944437888000.0,12617040000.0,-1240414000.0,24069825478000.0,51191047000.0,-686640000.0,17076873000.0,1167253409000.0,8397704073000.0,1651023984000.0,1972292199000.0,5893246841000.0,,328295633000.0,,755335000.0,,-943314216000.0,1972195382000.0,,1148740650000.0,90914476000.0,-2624677347000.0,282266762000.0,,,1754211000.0,552481019000.0,,-31890164000.0,,7899679470000.0,255468830000.0,,49274051000.0,7172443000.0
